TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
1.5416666,3127.6423,4565.8325,3216.8645,291.20447,145.85313,275.1582,8.7955465,54.146862,24.841801,0.029318489,0.27073431,0.082805999
1.5833334,3128.2581,4566.6187,3217.6809,290.98706,145.883,274.7821,9.0129423,54.117008,25.217907,0.03004314,0.27058503,0.084059693
1.625,3128.865,4567.2847,3218.4951,290.76904,145.91299,274.41159,9.2309685,54.087006,25.588409,0.030769896,0.27043504,0.085294694
1.6666666,3129.4651,4077.981,3219.3064,290.55045,365.05484,274.0466,9.449563,134.94514,25.953409,0.031498544,0.26989031,0.086511366
1.7083334,3130.0598,4060.3804,3220.1145,290.33133,365.31866,273.68698,9.6686649,134.68134,26.313009,0.032228883,0.26936266,0.08771003
1.75,3130.6506,4046.7974,3220.9182,290.11179,365.56573,273.3327,9.8882179,134.43427,26.667311,0.032960728,0.26886854,0.088891037
1.7916666,3131.239,4035.958,3221.7175,289.89185,365.80051,272.98358,10.108167,134.19949,27.016407,0.033693887,0.268399,0.090054691
1.8333334,3131.8254,4027.1221,3222.5117,289.67154,366.026,272.63962,10.328459,133.97401,27.360394,0.034428194,0.26794803,0.091201313
1.875,3132.4111,4019.7871,3223.3005,289.45096,366.24426,272.30063,10.549043,133.75572,27.699364,0.035163477,0.26751146,0.092331216
1.9166666,3132.9963,4013.5942,3224.0837,289.23013,366.45691,271.96658,10.769872,133.54311,28.033407,0.035899572,0.26708621,0.09344469
1.9583334,3133.5818,4008.2825,3224.8606,289.00909,366.66495,271.63739,10.990899,133.33505,28.362614,0.03663633,0.26667011,0.094542041
2,3134.1677,4003.6582,3225.6311,288.78793,366.86926,271.31293,11.212078,133.13074,28.687067,0.037373595,0.26626149,0.095623553
2.0416667,3134.7546,3999.5784,3226.395,288.56662,367.07043,270.99313,11.433368,132.92957,29.006851,0.038111225,0.26585913,0.096689507
2.0833333,3135.3425,3995.9338,3227.1519,288.34528,367.26895,270.67795,11.654725,132.73105,29.32205,0.038849086,0.2654621,0.097740166
2.125,3135.9319,3992.6426,3227.9019,288.1239,367.46515,270.36725,11.87611,132.53485,29.632744,0.039587036,0.26506972,0.098775811
2.1666667,3136.5225,3989.6406,3228.6448,287.90253,367.6593,270.06097,12.097485,132.3407,29.939011,0.040324949,0.2646814,0.099796705
2.2083333,3137.1147,3986.8789,3229.3801,287.68118,367.85162,269.75906,12.31881,132.14838,30.240929,0.041062701,0.26429674,0.10080309
2.25,3137.7085,3984.3186,3230.1079,287.45996,368.0423,269.46143,12.540051,131.9577,30.53857,0.041800171,0.26391539,0.10179523
2.2916667,3138.304,3981.929,3230.8284,287.23883,368.23145,269.168,12.761174,131.76855,30.832012,0.042537246,0.26353711,0.10277337
2.3333333,3138.9009,3485.9377,3231.541,287.01785,589.77295,268.87866,12.982143,210.22708,31.121325,0.04327381,0.26278386,0.10373774
2.375,3139.4995,3465.406,3232.2461,286.79706,590.35754,268.59341,13.202927,209.64247,31.406578,0.044009756,0.2620531,0.10468859
2.4166667,3140.0996,3449.114,3232.9434,286.57651,590.91162,268.31216,13.423494,209.08838,31.687841,0.04474498,0.26136047,0.10562614
2.4583333,3140.7014,3435.7522,3233.6328,286.3562,591.44257,268.03482,13.643814,208.55746,31.965183,0.04547938,0.26069683,0.10655061
2.5,3141.3047,3424.5542,3234.3145,286.13614,591.95532,267.76132,13.863857,208.04469,32.238667,0.046212859,0.26005587,0.10746223
2.5416667,3141.9092,3414.9968,3234.988,285.91641,592.45349,267.49164,14.083597,207.54649,32.508362,0.046945322,0.25943312,0.10836121
2.5833333,3142.5151,3406.7046,3235.6541,285.69699,592.93976,267.22568,14.303005,207.06024,32.774326,0.047676682,0.2588253,0.10924776
2.625,3143.1223,3399.4016,3236.312,285.47794,593.41602,266.96338,14.522055,206.584,33.036625,0.048406847,0.25823,0.11012208
2.6666667,3143.7307,3392.8835,3236.9622,285.25928,593.88367,266.70468,14.740721,206.11635,33.295319,0.049135737,0.25764543,0.1109844
2.7083333,3144.3401,3386.9966,3237.6042,285.04102,594.34381,266.44952,14.95898,205.65617,33.550465,0.049863268,0.25707021,0.11183489
2.75,3144.9504,3381.6238,3238.2388,284.82318,594.7973,266.19788,15.176807,205.20268,33.802124,0.050589357,0.25650334,0.11267375
2.7916667,3145.5618,3376.6755,3238.8652,284.6058,595.24481,265.94965,15.39418,204.7552,34.050354,0.051313937,0.25594401,0.11350118
2.8333333,3146.1738,3372.082,3239.4839,284.38892,595.68677,265.7048,15.611078,204.31325,34.295208,0.052036926,0.25539157,0.11431736
2.875,3146.7866,3367.7883,3240.095,284.17252,596.1236,265.46326,15.827478,203.87639,34.536739,0.052758262,0.2548455,0.11512247
2.9166667,3147.3999,3363.751,3240.6982,283.95663,596.55566,265.22501,16.043362,203.44434,34.775005,0.053477872,0.25430542,0.11591668
2.9583333,3148.0137,3359.9348,3241.2939,283.7413,596.98322,264.98993,16.258707,203.01682,35.010059,0.054195687,0.25377101,0.11670019
3,3148.6279,3356.3115,3241.8818,283.52649,597.40637,264.75806,16.473495,202.5936,35.241947,0.054911654,0.25324199,0.11747316
3.0416667,3149.2424,3352.8582,3242.4622,283.31229,597.8255,264.52927,16.687712,202.17451,35.470726,0.055625707,0.25271815,0.11823575
3.0833333,3149.8569,3349.5552,3243.0352,283.09866,598.2406,264.30356,16.901335,201.75943,35.696438,0.056337785,0.25219929,0.11898813
3.125,3150.4719,3346.387,3243.6006,282.88565,598.65179,264.08087,17.114349,201.34819,35.91914,0.057047833,0.25168523,0.11973047
3.1666667,3151.0867,3343.3398,3244.1584,282.67325,599.05933,263.86111,17.32674,200.94069,36.138874,0.057755802,0.25117585,0.12046292
3.2083333,3151.7012,3340.4021,3244.709,282.46152,599.46313,263.64432,17.53849,200.53683,36.35569,0.058461633,0.25067106,0.12118563
3.25,3152.3157,3337.5645,3245.2522,282.25043,599.86346,263.43036,17.749584,200.13655,36.56963,0.05916528,0.25017068,0.12189877
3.2916667,3152.9299,3334.8181,3245.7883,282.03998,600.26025,263.21927,17.960009,199.73975,36.780743,0.059866697,0.24967468,0.12260248
