TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
11.333333,4085.021,2913.3789,3759.9355,69.257286,402.1842,236.91359,130.74271,997.8158,563.08643,0.65371358,0.71272558,0.70385802
11.375,4086.3838,2913.0049,3762.3594,69.247955,402.2796,236.91023,130.75204,997.7204,563.08978,0.65376019,0.71265745,0.70386219
11.416667,4088.1389,2912.6858,4187.2993,69.237976,402.37405,73.945396,130.76202,997.62598,176.0546,0.65381014,0.71258998,0.70421839
11.458333,4090.2961,2912.4231,4214.3965,69.227386,402.46756,73.888512,130.77261,997.53241,176.11148,0.65386307,0.71252316,0.70444596
11.5,4092.7483,2912.219,4233.5552,69.216393,402.56012,73.852798,130.78362,997.43988,176.1472,0.65391803,0.71245706,0.70458883
11.541667,4095.3821,2912.075,4247.8447,69.20517,402.65167,73.826256,130.79483,997.34833,176.17374,0.65397418,0.71239167,0.70469499
11.583333,4098.1069,2911.9912,4259.0083,69.193871,402.74228,73.805359,130.80614,997.25775,176.19464,0.65403068,0.71232694,0.70477855
11.625,4100.8589,2911.9661,4268.0859,69.182579,402.83188,73.788254,130.81741,997.16809,176.21175,0.65408707,0.71226293,0.70484698
11.666667,4103.5947,2911.9968,4275.7148,69.171379,402.92056,73.773827,130.82861,997.07941,176.22617,0.6541431,0.71219957,0.70490468
11.708333,4106.2856,2912.0801,4282.3003,69.160301,403.00833,73.76136,130.83969,996.99164,176.23865,0.65419847,0.71213692,0.70495456
11.75,4108.915,2912.2119,4288.1104,69.149376,403.09528,73.750351,130.85063,996.90472,176.24965,0.65425313,0.71207482,0.70499861
11.791667,4111.4722,2912.3879,4293.3198,69.138611,403.1814,73.740463,130.86139,996.8186,176.25954,0.65430695,0.7120133,0.70503813
11.833333,4113.9517,2912.6033,4298.0522,69.128006,403.26678,73.731499,130.87199,996.73322,176.26851,0.65435994,0.71195227,0.70507401
11.875,4116.3521,2912.854,4302.396,69.117577,403.35147,73.723274,130.88243,996.6485,176.27672,0.65441209,0.71189177,0.70510691
11.916667,4118.6733,2913.1357,4306.416,69.107307,403.43552,73.715683,130.89268,996.56445,176.28432,0.65446347,0.71183175,0.70513725
11.958333,4120.916,2913.4443,4310.1611,69.097206,403.51895,73.708626,130.9028,996.48102,176.29137,0.65451396,0.7117722,0.70516551
12,4123.083,2913.7764,4313.6694,69.087257,403.60184,73.702034,130.91275,996.39819,176.29796,0.65456372,0.71171296,0.70519185
12.041667,4125.1768,2914.1279,4316.9712,69.077454,403.6842,73.695854,130.92255,996.3158,176.30415,0.65461272,0.71165413,0.70521659
12.083333,4127.2002,2914.4963,4320.0903,69.067802,403.76605,73.690033,130.93221,996.23395,176.30997,0.654661,0.71159565,0.70523989
12.125,4129.1558,2914.8787,4323.0459,69.058281,403.84747,73.684532,130.94173,996.15253,176.31548,0.65470862,0.71153748,0.70526189
12.166667,4131.0469,2915.2722,4325.855,69.048889,403.9285,73.679321,130.95111,996.07153,176.32068,0.65475553,0.71147966,0.70528269
12.208333,4132.8765,2915.6748,4328.5313,69.039627,404.00909,73.674377,130.96037,995.99091,176.32562,0.65480185,0.71142209,0.70530248
12.25,4134.6475,2916.0845,4331.0864,69.030487,404.08932,73.669678,130.96951,995.91064,176.33032,0.65484756,0.71136475,0.70532131
12.291667,4136.3618,2916.4995,4333.5303,69.021461,404.16922,73.665199,130.97855,995.83081,176.33481,0.65489268,0.7113077,0.70533919
12.333333,4138.0229,2916.918,4335.8721,69.012543,404.24878,73.660919,130.98746,995.75122,176.33908,0.65493733,0.7112509,0.7053563
12.375,4139.6333,2917.3391,4338.1187,69.003723,404.328,73.656837,130.99628,995.672,176.34317,0.65498137,0.71119428,0.70537263
12.416667,4141.1943,2917.761,4340.2778,68.99501,404.40695,73.652931,131.00499,995.59308,176.34708,0.65502495,0.71113789,0.70538831
12.458333,4142.7095,2918.1831,4342.3545,68.986389,404.4856,73.649185,131.01361,995.5144,176.35081,0.65506804,0.71108174,0.70540327
12.5,4144.1797,2918.6042,4344.355,68.977867,404.56396,73.645592,131.02214,995.43604,176.3544,0.65511066,0.71102571,0.70541763
12.541667,4145.6074,2919.0237,4346.2837,68.969421,404.64209,73.642151,131.03058,995.35791,176.35785,0.65515286,0.71096992,0.7054314
12.583333,4146.9946,2919.4407,4348.145,68.961067,404.71994,73.63884,131.03893,995.28009,176.36116,0.65519464,0.71091431,0.70544463
12.625,4148.3428,2919.8547,4349.9424,68.952797,404.79755,73.635658,131.0472,995.20245,176.36435,0.65523601,0.71085888,0.70545739
12.666667,4149.6533,2920.2649,4351.6802,68.944603,404.87488,73.632591,131.0554,995.12512,176.3674,0.65527701,0.71080363,0.70546961
12.708333,4150.9282,2920.6711,4353.3613,68.936485,404.952,73.629646,131.06352,995.04797,176.37035,0.6553176,0.71074855,0.70548141
12.75,4152.1689,2921.073,4354.9888,68.928436,405.0289,73.626808,131.07156,994.97113,176.37318,0.65535784,0.71069366,0.70549273
12.791667,4153.3765,2921.47,4356.5654,68.920456,405.10556,73.624077,131.07954,994.89447,176.37593,0.65539771,0.71063888,0.7055037
12.833333,4154.5522,2921.8621,4358.0938,68.912544,405.18201,73.621437,131.08745,994.81799,176.37856,0.65543729,0.71058428,0.70551425
12.875,4155.6978,2922.2488,4359.5757,68.904701,405.25821,73.618896,131.09531,994.74176,176.3811,0.65547651,0.71052986,0.70552444
12.916667,4156.8135,2922.6299,4361.0142,68.896919,405.3342,73.61644,131.10309,994.66577,176.38356,0.65551543,0.71047556,0.70553422
12.958333,4157.9014,2923.0051,4362.4106,68.889198,405.41,73.614067,131.11081,994.59003,176.38593,0.655554,0.71042144,0.7055437
13,4158.9614,2923.3748,4363.7671,68.881531,405.48557,73.611778,131.11847,994.51447,176.38821,0.65559232,0.71036744,0.70555288
