TIME,WBHP:P1,WBHP:P2,WBHP:P3,WOPR:P1,WOPR:P2,WOPR:P3,WWPR:P1,WWPR:P2,WWPR:P3,WWCT:P1,WWCT:P2,WWCT:P3
1.625,3709.5439,3717.9517,4133.4775,225.29872,264.82681,224.00581,374.70126,735.17322,575.9942,0.62450212,0.73517323,0.71999276
1.6666666,3706.9238,1792.8453,4130.936,225.14992,798.49701,224.05843,374.8501,2201.5029,575.94159,0.62475014,0.73383433,0.71992695
1.7083334,3702.4492,1694.9631,4128.4141,225.01196,801.2829,224.11084,374.98804,2198.717,575.88916,0.62498003,0.73290569,0.71986145
1.75,3696.5923,1627.4432,4125.8755,224.8822,803.41876,224.1633,375.1178,2196.5813,575.83667,0.62519634,0.73219377,0.71979588
1.7916666,3689.8242,1578.0789,4123.29,224.75801,805.16272,224.21599,375.24197,2194.8374,575.784,0.62540329,0.73161244,0.71973002
1.8333334,3682.5142,1540.2142,4120.6382,224.63741,806.65686,224.269,375.36261,2193.343,575.73102,0.62560433,0.73111439,0.71966374
1.875,3674.9143,1509.9325,4117.9082,224.51935,807.98523,224.32242,375.48065,2192.0146,575.67761,0.62580109,0.73067158,0.71959698
1.9166666,3667.2156,1484.8395,4115.0952,224.40266,809.1994,224.37627,375.59735,2190.8005,575.62372,0.62599558,0.73026687,0.71952969
1.9583334,3659.5376,1463.4255,4112.1992,224.28668,810.33191,224.43056,375.71332,2189.6682,575.56946,0.62618887,0.72988939,0.7194618
2,3651.9578,1444.7097,4109.2241,224.17096,811.40393,224.48524,375.82904,2188.5962,575.51477,0.62638175,0.729532,0.71939343
2.0416667,3644.5239,1428.035,4106.1768,224.05524,812.42963,224.54028,375.94476,2187.5703,575.45972,0.62657458,0.72919011,0.71932465
2.0833333,3637.2644,1412.9486,4103.0645,223.93936,813.41876,224.59566,376.06064,2186.5813,575.40436,0.62676775,0.72886044,0.71925545
2.125,3630.1951,1399.1295,4099.8965,223.82323,814.3783,224.65129,376.17679,2185.6216,575.34869,0.62696129,0.72854054,0.71918589
2.1666667,3623.3228,1386.3441,4096.6807,223.70677,815.31329,224.70714,376.29321,2184.6868,575.29285,0.62715536,0.72822893,0.71911609
2.2083333,3616.6482,1374.4182,4093.4265,223.59003,816.22742,224.76314,376.40997,2183.7727,575.23688,0.62734997,0.72792423,0.71904606
2.25,3610.1692,1363.2188,4090.1418,223.47296,817.12354,224.81923,376.52704,2182.8765,575.18079,0.62754506,0.72762549,0.71897596
2.2916667,3604.2881,1352.6477,4462.1543,223.35336,818.00372,84.235779,376.64664,2181.9963,215.76422,0.62774438,0.72733212,0.71921408
2.3333333,3600.8005,3485.595,4481.5005,223.22099,217.23526,84.195305,376.77902,582.76477,215.8047,0.62796503,0.72845596,0.71934897
